channel,outcome,horizon,nobs,beta_p,p_p,beta_s,p_s,std_p,std_s
act,vix,1,314,-0.6435677878300305,0.8329596154069269,0.44394626732716613,0.7172200372298424,-0.0635474559548045,0.12902190696626054
act,vix,2,313,-2.18712839707477,0.4558661822497977,0.17094035350769488,0.8802469836679139,-0.2110056536946794,0.049759048121845444
act,vix,6,309,1.5094854395935906,0.7131542457891251,1.0229019660052496,0.4075064704822008,0.1459521952970573,0.2844921699368577
threat,ip,1,314,1.1194840960183063,0.4232002935821989,0.027378205462237824,0.9589098770341724,0.10041056561393419,0.006430428156508574
threat,ip,2,313,-1.100518810220497,0.19728405922406445,-0.5890735187151805,0.3408743429791343,-0.0981540556337692,-0.1385754653066041
threat,ip,6,309,-0.017622651288349077,0.9648920686029354,0.045618605886603915,0.8409132075190119,-0.0015710681197862847,0.01057688272691734
threat,cpi,1,314,0.11606800378174952,0.6274638810108537,0.05481733184414702,0.5519617153003044,0.010410557819318178,0.012875165052051031
threat,cpi,2,313,0.021333341202021003,0.918352493522923,-0.0537379742657981,0.5478099860840662,0.0019026971095367385,-0.012641486252444883
threat,cpi,6,309,0.09340465469036455,0.5856789925647237,0.07007484854892024,0.2647037285097792,0.008327071382312166,0.016247174607895494
threat,infl_exp,1,314,-0.1114078608789476,0.7283561321964582,-0.06361524622165673,0.5401445768355227,-0.00999257279713127,-0.014941566241483328
threat,infl_exp,2,313,0.04885196855120933,0.8230815994339806,0.04507390163380983,0.7483755447398694,0.004357053050309814,0.010603323173841961
threat,infl_exp,6,309,0.34714771868965943,0.08319432575676679,0.07499631527301058,0.31621631217409696,0.030948391633354208,0.017388239210231696
threat,oil,1,314,-0.017547060385453745,0.8479457577170636,-0.045231005355805196,0.4479266326194069,-0.0015738591235301095,-0.010623586370126763
threat,oil,2,313,-0.019036195953230677,0.8485094514636019,0.009723984795054546,0.766886785004259,-0.0016978172651809307,0.002287500073926344
threat,oil,6,309,0.009662262696416122,0.8868345125483733,-0.00798017420630839,0.7835888394830511,0.0008613955209665692,-0.0018502399422355097
threat,vix,1,314,4.2308004174296405,0.383631215860082,0.7779824467994559,0.72032438950997,0.37947574639491105,0.18272783576224
threat,vix,2,313,2.2615298912337094,0.6208714459906823,-1.3211994469570898,0.4626590270019041,0.20170335000190548,-0.3108030191617381
threat,vix,6,309,0.8119483752350968,0.851335778370878,0.9045639304646841,0.5453869430587099,0.0723856011431998,0.20972729055566997
