measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,vix,asset_price,a,0,-0.8742267061477665,2.5730636837474687,-0.33976100617708876,0.7340365153503807,-5.106539838736906,3.3580864264413735,-7.9571848738769555,6.208731461581423,2.7527333320461804,225,True
LEVEL,pooled,vix,asset_price,a,1,0.19066080771526916,2.9704724991412967,0.06418534686666358,0.9488226448416357,-4.695331656256896,5.076653271687435,-7.986257852597498,8.367579468028037,2.7527333320461804,224,True
LEVEL,pooled,vix,asset_price,a,2,-2.063039933120348,2.4640255833736853,-0.8372640069327862,0.4024441861893594,-6.116001350833772,1.9899214845930757,-8.845845287487627,4.71976542124693,2.7527333320461804,223,True
LEVEL,pooled,vix,asset_price,a,3,-1.9654177996479878,2.6405979979236958,-0.7443078428421885,0.45669025757314397,-6.308814993853575,2.3779793945575993,-9.234279925066955,5.303444325770981,2.7527333320461804,222,True
LEVEL,pooled,vix,asset_price,a,4,-0.7519844199279658,2.5239093398064605,-0.29794430729656474,0.7657456704243362,-4.903445851605317,3.399477011749386,-7.699633786675879,6.195664946819948,2.7527333320461804,221,True
LEVEL,pooled,vix,asset_price,a,5,0.9808534652482033,2.680494038426546,0.36592264380635064,0.7144227991340071,-3.4281668758794996,5.389873806375906,-6.397831820679625,8.359538751176032,2.7527333320461804,220,True
LEVEL,pooled,vix,asset_price,a,6,1.7270118858632055,2.53896187416808,0.6802039461223027,0.49637533407036283,-2.449208761553668,5.903232533280079,-5.26207309395371,8.71609686568012,2.7527333320461804,219,True
LEVEL,pooled,vix,asset_price,a,7,-0.6727351583101535,2.4895270070434496,-0.2702260937145207,0.7869863192945322,-4.767642685239215,3.4221723686189076,-7.525739131627824,6.1802688150075165,2.7527333320461804,218,True
LEVEL,pooled,vix,asset_price,a,8,1.5716520383732673,2.7206488551983434,0.5776754450947655,0.5634832601866524,-2.903417098761098,6.046721175507633,-5.917568750124494,9.060872826871028,2.7527333320461804,217,True
LEVEL,pooled,vix,asset_price,a,9,-2.3168873887832433,2.633183067004471,-0.8798808627532881,0.3789238529122675,-6.648088106972749,2.0143133294062627,-9.565338186706043,4.931563409139556,2.7527333320461804,216,True
