measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,act,oil,asset_price,a,18,-0.03361628803024574,-0.01649866810137277,0.02610103393606759,-1.2879293637403852,0.19777055283511158,-0.07654866836716998,0.0093160923066785,-0.10739569483345257,0.04016311877296109,2.826685218061615,291,True
LEVEL,act,oil,asset_price,a,19,-0.0035669963079036342,-0.0017506599226533913,0.033653475721126355,-0.10599191410307766,0.915588767658725,-0.05892203790732163,0.05178804529151436,-0.09869477866520696,0.09156078604939968,2.826685218061615,290,True
LEVEL,act,oil,asset_price,a,20,0.02479153536063604,0.012167533585819018,0.021344737578114267,1.1614823218091905,0.245445808280355,-0.010317433661052595,0.05990050438232467,-0.03554331883482383,0.08512638955609592,2.826685218061615,289,True
LEVEL,act,oil,asset_price,a,21,0.04952182247303004,0.024305006906845363,0.03138938475777322,1.577661456418528,0.11464340553667979,-0.002109120893568496,0.10115276583962857,-0.03920608742581608,0.13824973237187616,2.826685218061615,288,True
LEVEL,act,oil,asset_price,a,22,0.0010857335699828016,0.0005328713807291198,0.02494286024347926,0.043528831873507444,0.9652799817900988,-0.03994162056804774,0.04211308770801334,-0.06941988077643675,0.07159134791640236,2.826685218061615,287,True
LEVEL,act,oil,asset_price,a,23,-0.010833003175061659,-0.00531677155329137,0.02555393040714847,-0.4239270829363779,0.6716189920340894,-0.05286547828812533,0.03119947193800201,-0.08306592052032345,0.06139991417020014,2.826685218061615,286,True
LEVEL,act,oil,asset_price,a,24,0.061687700717120035,0.030275945373649228,0.037370856059036096,1.650690062322087,0.0988018780556339,0.00021811258613311374,0.12315728884810695,-0.04394794569126564,0.1673233471255057,2.826685218061615,285,True
LEVEL,act,dxy,asset_price,a,0,-0.0016142720156569765,-0.0007922748099878113,0.003544377525739166,-0.4554458445620367,0.6487885199283778,-0.007444254244154329,0.004215710212840376,-0.011664727272751193,0.008436183241437242,2.8356051758335856,309,True
LEVEL,act,dxy,asset_price,a,1,-0.0010502586445602486,-0.00051546050478883,0.0029942790266143347,-0.350755101720693,0.7257720833166528,-0.0059754093615915615,0.003874892072471064,-0.009540851750317807,0.007440334461197309,2.8356051758335856,308,True
LEVEL,act,dxy,asset_price,a,2,0.006896303987529006,0.0033846637235510056,0.002683729815211567,2.569671487956901,0.01017949953324739,0.0024819612672204562,0.011310646707837557,-0.0007136941670238253,0.014506302142081838,2.8356051758335856,307,True
LEVEL,act,dxy,asset_price,a,3,0.0024374847104430887,0.0011963025543923283,0.003393195074824431,0.718344998355041,0.4725445911331535,-0.0031438245153357484,0.008018793936221926,-0.007184276806342099,0.012059246227228275,2.8356051758335856,306,True
LEVEL,act,dxy,asset_price,a,4,0.0008059185577296082,0.00039553988794820057,0.0027508452446075955,0.29297124558694376,0.7695441305199183,-0.0037188192200454046,0.005330656335504621,-0.006994392455796895,0.008606229571256112,2.8356051758335856,305,True
LEVEL,act,dxy,asset_price,a,5,-0.002733106453141956,-0.0013413918935825952,0.0039871284074812895,-0.685482425901725,0.4930395466648797,-0.009291349075308802,0.0038251361690248903,-0.014039028402109022,0.008572815495825111,2.8356051758335856,304,True
LEVEL,act,dxy,asset_price,a,6,-0.003727736931548392,-0.0018295504354172167,0.003588085326641216,-1.0389209263977852,0.29884151310729246,-0.009629612094885553,0.0021741382317887695,-0.013902130255104766,0.006446656392007981,2.8356051758335856,303,True
LEVEL,act,dxy,asset_price,a,7,-0.00895154460160612,-0.004393363218558039,0.003153777911746535,-2.8383560453845753,0.004534656881345373,-0.014139047638341846,-0.003764041564870392,-0.01789441357158423,-8.675631628008232e-06,2.8356051758335856,302,True
LEVEL,act,dxy,asset_price,a,8,-0.010336688306660409,-0.00507318325823151,0.0028436328320004985,-3.6350291747716734,0.0002779491792942063,-0.015014048084094716,-0.005659328529226103,-0.018400108283251337,-0.002273268330069479,2.8356051758335856,301,True
LEVEL,act,dxy,asset_price,a,9,-0.0017935350550320342,-0.0008802560108518491,0.0033633384009283313,-0.5332603625424643,0.5938533618429516,-0.007325734422464165,0.0037386643124000963,-0.011330634832784264,0.007743564722720197,2.8356051758335856,300,True
LEVEL,act,dxy,asset_price,a,10,-0.0038750247922795795,-0.0019018384146069081,0.0026711840262076134,-1.4506768362871303,0.14686986848713943,-0.008268731526042008,0.0005186819414828496,-0.011449448042597885,0.003699398458038725,2.8356051758335856,299,True
LEVEL,act,dxy,asset_price,a,11,0.004726042158900036,0.0023195125215083696,0.0032613757228152555,1.4490946645118412,0.14731114784579674,-0.0006384435276241161,0.010090527845424187,-0.004521931721052904,0.013974016038852975,2.8356051758335856,298,True
