measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,ip,real_macro,a,0.1,18,0.004232559996186325,0.43806725167185867,0.9922981514458731,-0.7163239477649338,0.7247890677573064,285,True
LEVEL,pooled,ip,real_macro,a,0.1,19,0.2298452388343435,0.24702599494922786,0.35296950690396955,-0.17647636490919,0.636166842577877,284,True
LEVEL,pooled,ip,real_macro,a,0.1,20,0.048566837884472136,0.2024863327751888,0.8106273310559583,-0.2844935409888999,0.38162721675784417,283,True
LEVEL,pooled,ip,real_macro,a,0.1,21,-0.2754581084318488,0.21792081393986182,0.207318111345229,-0.6339059496290474,0.08298973276534982,282,False
LEVEL,pooled,ip,real_macro,a,0.1,22,0.17236185661031733,0.46952274480252876,0.7138351187543716,-0.5999343331143325,0.9446580463349672,281,True
LEVEL,pooled,ip,real_macro,a,0.1,23,0.24389298845835583,0.27443043252962857,0.37495423817354623,-0.207504903833865,0.6952908807505767,280,False
LEVEL,pooled,ip,real_macro,a,0.1,24,0.16280629016876347,0.26078130611170175,0.5329663605394135,-0.26614078703021127,0.5917533673677382,279,True
LEVEL,pooled,cpi,real_macro,a,0.1,0,-0.1537184862406047,0.20032411870123332,0.44350056440652136,-0.48322233945218557,0.1757853669709762,303,True
LEVEL,pooled,cpi,real_macro,a,0.1,1,0.054274436703499074,0.11165124559646947,0.6272610596032365,-0.12937551956950333,0.23792439297650148,302,True
LEVEL,pooled,cpi,real_macro,a,0.1,2,-0.1830594218313557,0.11509146717037687,0.11281041168387047,-0.3723680390377164,0.0062491953750049845,301,True
LEVEL,pooled,cpi,real_macro,a,0.1,3,-0.00726406644423605,0.08506663107942104,0.9320089701200905,-0.14718622310776458,0.13265809021929248,300,False
LEVEL,pooled,cpi,real_macro,a,0.1,4,-0.029283913601517497,0.08875482444529453,0.7416864317936149,-0.1752726084998014,0.1167047812967664,299,True
LEVEL,pooled,cpi,real_macro,a,0.1,5,0.028008595450096152,0.07583436391593631,0.712150212081272,-0.09672783308458954,0.15274502398478185,298,True
LEVEL,pooled,cpi,real_macro,a,0.1,6,0.16137075720367267,0.0897025977407171,0.07309145659600427,0.013823113962885214,0.3089184004444601,297,True
LEVEL,pooled,cpi,real_macro,a,0.1,7,0.018172555682910208,0.10824356715635741,0.8667934742725997,-0.15987226834838952,0.19621737971420994,296,True
LEVEL,pooled,cpi,real_macro,a,0.1,8,0.18388861150944003,0.09489782885275448,0.053655040887534595,0.02779557353116674,0.3399816494877133,295,True
LEVEL,pooled,cpi,real_macro,a,0.1,9,-0.11676804812671104,0.10396057253228949,0.26231658805018815,-0.287767972916399,0.054231876662976936,294,True
LEVEL,pooled,cpi,real_macro,a,0.1,10,0.18581972064783958,0.17983358330895896,0.3023643915165773,-0.10998020110558132,0.4816196424012605,293,True
LEVEL,pooled,cpi,real_macro,a,0.1,11,0.09921132939633193,0.18703034572559335,0.5962194152293526,-0.20842621312039805,0.4068488719130619,292,True
LEVEL,pooled,cpi,real_macro,a,0.1,12,0.1390156496578343,0.08825465307300033,0.11635973292162467,-0.006150336544634177,0.28418163586030276,291,True
LEVEL,pooled,cpi,real_macro,a,0.1,13,-0.017420367066478093,0.09485674081894033,0.8544234893418249,-0.17344582124330785,0.13860508711035166,290,True
LEVEL,pooled,cpi,real_macro,a,0.1,14,-0.018579703239367973,0.10951439182106652,0.8654059193444426,-0.1987148478296339,0.16155544135089794,289,False
LEVEL,pooled,cpi,real_macro,a,0.1,15,0.06358715927898473,0.11282171683862666,0.5734822862863522,-0.1219880508619223,0.24916236941989175,288,True
LEVEL,pooled,cpi,real_macro,a,0.1,16,0.03244229895614392,0.08185422281882804,0.6921620644233817,-0.10219591632869934,0.1670805142409872,287,True
LEVEL,pooled,cpi,real_macro,a,0.1,17,-0.05135918901034309,0.10891715514859966,0.6376305928934722,-0.23051196669375346,0.12779358867306728,286,True
LEVEL,pooled,cpi,real_macro,a,0.1,18,-0.11408244282319757,0.2068694317827095,0.5817654186270308,-0.45435237799637745,0.2261874923499823,285,True
LEVEL,pooled,cpi,real_macro,a,0.1,19,0.014501252992106473,0.10026058300867599,0.8851064646521322,-0.15041273060998336,0.1794152365941963,284,False
LEVEL,pooled,cpi,real_macro,a,0.1,20,0.11409667530894296,0.2230042279067978,0.6093265086182602,-0.2527126377890661,0.48090598840695203,283,False
LEVEL,pooled,cpi,real_macro,a,0.1,21,0.16375776298121014,0.08388272741342725,0.051952950164274654,0.025782954556652637,0.30173257140576765,282,True
LEVEL,pooled,cpi,real_macro,a,0.1,22,0.146807988459841,0.09023310868998673,0.10491964193039537,-0.0016122676399900615,0.29522824455967206,281,False
LEVEL,pooled,cpi,real_macro,a,0.1,23,-0.012573786017014754,0.0908646970885694,0.8900454167354896,-0.162032912584995,0.1368853405509655,280,True
