macro_var,shock,horizon,beta,se,tstat,pvalue,ci_low,ci_high,nobs
oil,GPRD_THREAT,5,-0.0001733123387540401,0.0007005332227457199,-0.24740059875354284,0.804598210848509,-0.001325586950987341,0.0009789622734792608,9507
oil,GPRD_THREAT,6,-0.0008874560514010622,0.0005797844187543518,-1.5306655761942225,0.12585206566237628,-0.001841116555439109,6.620445263698447e-05,9506
oil,GPRD_THREAT,7,0.0005335418152580901,0.000706570184646084,0.7551150994650835,0.4501799240380582,-0.0006286627156527927,0.001695746346168973,9505
oil,GPRD_THREAT,8,0.0010312596708116671,0.0008789767584757001,1.1732502149431714,0.2406954804132384,-0.00041452843837313635,0.0024770477799964706,9504
oil,GPRD_THREAT,9,2.2283817489920612e-05,0.0005514110351172619,0.040412353164426214,0.9677643818942679,-0.0008847066235637732,0.0009292742585436144,9503
oil,GPRD_THREAT,10,-0.0002832120707486006,0.0005251174778549317,-0.5393308786930919,0.5896585659173851,-0.0011469534587738943,0.0005805293172766932,9502
oil,GPRD_THREAT,11,-0.00017821508545887602,0.0007201166920374643,-0.24748084224327957,0.8045361161369045,-0.0013627016381849955,0.0010062714672672433,9501
oil,GPRD_THREAT,12,-2.500897290185115e-05,0.0006195377071682876,-0.04036715217247925,0.9678004176627283,-0.0010440578175708079,0.0009940398717671057,9500
oil,GPRD_THREAT,13,0.0007129032561268673,0.0005684806420330298,1.254050188195232,0.20982376393707947,-0.0002221641897728634,0.001647970702026598,9499
oil,GPRD_THREAT,14,-0.0003840883414727467,0.0005623162263924382,-0.6830468754865576,0.4945772227391687,-0.0013090162259480139,0.0005408395430025203,9498
oil,GPRD_THREAT,15,-0.0006197049481355995,0.0005922054275000178,-1.0464357794754946,0.295359880753049,-0.0015937961934593507,0.00035438629718815174,9497
oil,GPRD_THREAT,16,-0.0014254982418776517,0.0006342182852720953,-2.247646078614838,0.024598766863799467,-0.002468694488686401,-0.0003823019950689023,9496
oil,GPRD_THREAT,17,0.00011263311523822873,0.0006707575492010563,0.16791926586944383,0.8666467933640776,-0.0009906648723702093,0.0012159311028466667,9495
oil,GPRD_THREAT,18,0.000598752620854585,0.000618911190794702,0.9674289781152079,0.3333296295495194,-0.00041926569608493507,0.001616770937794105,9494
oil,GPRD_THREAT,19,-0.00029369504085182725,0.0006067986888157619,-0.4840073755350514,0.6283806347470207,-0.0012917900649798309,0.0007043999832761765,9493
oil,GPRD_THREAT,20,1.2525224420870769e-06,0.0007457205210726208,0.001679613751657911,0.9986598627495508,-0.0012253485813363552,0.001227853626220529,9492
oil,GPRD_THREAT,21,-0.00023250454960269056,0.000557648780029122,-0.4169372514193405,0.6767243053312852,-0.0011497551679986557,0.0006847460687932745,9491
oil,GPRD_THREAT,22,0.0007151089361864898,0.0006715619392586778,1.0648443492433215,0.28694637204306106,-0.0003895121553257107,0.0018197300276986902,9490
oil,GPRD_THREAT,23,0.0006474426632780239,0.0005933198141958427,1.091220363431713,0.2751759296140336,-0.00032848158504418155,0.0016233669116002293,9489
oil,GPRD_THREAT,24,-0.000701778601313941,0.0006244499147042302,-1.1238348901790425,0.2610830769956859,-0.0017289073083647315,0.00032535010573684947,9488
oil,GPRD_THREAT,25,-0.00032820205498179607,0.0006206586693090444,-0.52879637586819,0.5969467120923291,-0.0013490947182936523,0.0006926906083300601,9487
oil,GPRD_THREAT,26,5.1401860550311604e-05,0.0006130468468129667,0.0838465458513217,0.933178440049089,-0.0009569704689211602,0.0010597741900217833,9486
oil,GPRD_THREAT,27,-0.0002673471262951889,0.0006094430234368351,-0.4386745208560054,0.6608973915047908,-0.0012697916938155384,0.0007350974412251605,9485
oil,GPRD_THREAT,28,0.0005894883943923255,0.0005700030888554859,1.0341845613081928,0.30104989021270456,-0.00034808325368516273,0.001527060042469814,9484
oil,GPRD_THREAT,29,-0.0009618157557069755,0.0006629385054426212,-1.4508370652943205,0.14682523587211938,-0.0020522525608300595,0.00012862104941610835,9483
oil,GPRD_THREAT,30,0.0006333330819543603,0.0006382349618781618,0.9923196311443415,0.3210416299405384,-0.0004164700099381686,0.0016831361738468891,9482
dxy,GPRD,0,-3.9574188867175464e-05,0.00011330117048130456,-0.3492831424341328,0.7268767528623375,-0.00022593803007119634,0.0001467896523368454,9512
dxy,GPRD,1,-7.736208329574465e-05,0.0001221878289172023,-0.6331406653290095,0.5266417887299272,-0.00027834317685953083,0.00012361901026804151,9511
dxy,GPRD,2,-0.00010797787578578908,0.00011567792433815406,-0.9334354536838342,0.35059518222035146,-0.0002982511291916198,8.229537762004161e-05,9510
dxy,GPRD,3,3.07236898671222e-05,0.00012226226379008,0.25129331745299344,0.8015873413395738,-0.00017037983816728852,0.0002318272179015329,9509
