measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,dxy,asset_price,a,9,0.001854627332807954,0.0006534315767372877,0.004343751372248299,0.4269644309425588,0.6694052350725637,-0.005290207866410095,0.008999462532026003,-0.010447680142931801,0.01415693480854771,2.832184998970638,294,True
LEVEL,pooled,dxy,asset_price,a,10,-0.0056896924068138115,-0.002004620882463562,0.003984101257066387,-1.4280993478070643,0.15326326521602027,-0.012242955809641378,0.0008635709960137542,-0.016973404221457294,0.0055940194078296715,2.832184998970638,293,True
LEVEL,pooled,dxy,asset_price,a,11,0.0008765029230725142,0.0003088138931776549,0.004270530263868794,0.20524451740530822,0.8373810898510965,-0.0061478942704581,0.007900900116603127,-0.011218428827906805,0.012971434674051832,2.832184998970638,292,True
LEVEL,pooled,dxy,asset_price,a,12,0.005345586904748714,0.0018833839111319977,0.0050055954191760895,1.0679222863817839,0.2855555685626451,-0.0028878848755347518,0.013579058685032178,-0.00883118535235795,0.019522359161855376,2.832184998970638,291,True
LEVEL,pooled,dxy,asset_price,a,13,-0.0002965748618439859,-0.00010449073847194616,0.004469049972481595,-0.0663619479912198,0.9470896644963857,-0.007647507918107715,0.0070543581944197435,-0.012953751153556504,0.012360601429868532,2.832184998970638,290,True
LEVEL,pooled,dxy,asset_price,a,14,-0.009277827258040147,-0.0032688104972219355,0.004024450386032574,-2.3053650481666175,0.02114613727813318,-0.015897459071992078,-0.002658195444088216,-0.020675815270463194,0.002120160754382901,2.832184998970638,289,True
LEVEL,pooled,dxy,asset_price,a,15,0.0013649211979266192,0.00048089586231483223,0.004509312591413397,0.3026894166808691,0.7621265639345718,-0.006052237973117649,0.008782080368970888,-0.011406286279143817,0.014136128674997056,2.832184998970638,288,True
LEVEL,pooled,dxy,asset_price,a,16,0.003024812234659202,0.0010657169733582633,0.0045400997951378155,0.6662435565620388,0.5052554365729576,-0.0044429873800948694,0.010492611849413275,-0.009833590298959785,0.01588321476827819,2.832184998970638,287,True
LEVEL,pooled,dxy,asset_price,a,17,-0.00509006045354838,-0.001793355553977829,0.004543277365314549,-1.120349924573882,0.26256467504438963,-0.012563086706132544,0.0023829657990357845,-0.01795746245375509,0.007777341546658328,2.832184998970638,286,True
LEVEL,pooled,dxy,asset_price,a,18,-0.014386342118178333,-0.0050686680000184905,0.004000453142093387,-3.5961781346225545,0.00032292670671486704,-0.020966501978400054,-0.007806182257956613,-0.02571636549630018,-0.003056318740056489,2.832184998970638,285,True
LEVEL,pooled,dxy,asset_price,a,19,-0.007227834619789186,-0.00254654683906476,0.005105924898798459,-1.4155779340761674,0.1568991156399815,-0.01562633370851966,0.001170664468941287,-0.021688758524036855,0.007233089284458483,2.832184998970638,284,True
LEVEL,pooled,dxy,asset_price,a,20,-0.0036747710230136325,-0.0012947137040630137,0.004432896134644666,-0.82897747012252,0.40711715606112475,-0.010966236307983072,0.0036166942619558075,-0.01622955295754918,0.008880010911521914,2.832184998970638,283,True
LEVEL,pooled,dxy,asset_price,a,21,0.0007270151952326245,0.00025614562932897993,0.005719104995557559,0.1271204490558137,0.8988450667546216,-0.00868007539962651,0.010134105790091759,-0.015470548180723532,0.01692457857118878,2.832184998970638,282,True
LEVEL,pooled,dxy,asset_price,a,22,-9.575666702516005e-05,-3.373746779770819e-05,0.003934893561394565,-0.024335262321866453,0.980585186187483,-0.0065680806131530045,0.006376567279102685,-0.011240103184152994,0.011048589850102675,2.832184998970638,281,True
LEVEL,pooled,dxy,asset_price,a,23,-0.009295214124331253,-0.0032749363249039406,0.005802435364723761,-1.6019504811448726,0.10916656015321423,-0.018839370979148617,0.00024894273048611283,-0.025728784521798612,0.007138356273136106,2.832184998970638,280,True
LEVEL,pooled,dxy,asset_price,a,24,-0.005927541592907668,-0.0020884210971728327,0.004206498732260434,-1.4091390417993546,0.15879405840543992,-0.012846616289433014,0.0009915331036176771,-0.017841124200604675,0.00598604101478934,2.832184998970638,279,True
LEVEL,pooled,vix,asset_price,a,0,-0.25008915937140186,-0.08811266330553948,1.6985081749594697,-0.14724048023929562,0.8829422101663691,-3.0438864913602113,2.5437081726174076,-4.889868712030113,4.389690393287308,2.7316792589293404,303,True
LEVEL,pooled,vix,asset_price,a,1,-0.9086651949428755,-0.32014546564396,1.7111170007780312,-0.5310362731068142,0.5953936433137701,-3.7232021998109452,1.9058718099251941,-5.582888015569603,3.7655576256838525,2.7316792589293404,302,True
LEVEL,pooled,vix,asset_price,a,2,-1.941206206071668,-0.6839354783395535,1.4026039830284118,-1.3840016352159081,0.16635795403762432,-4.2482844547325325,0.3658720425891966,-5.772670415002061,1.890258002858725,2.7316792589293404,301,True
LEVEL,pooled,vix,asset_price,a,3,-2.208259755640182,-0.7780251204368929,1.468079235185034,-1.504182950562513,0.13253426645371427,-4.623035210286428,0.2065156990060646,-6.218581352859989,1.8020618415796243,2.7316792589293404,300,True
LEVEL,pooled,vix,asset_price,a,4,-1.9379854380237793,-0.682800721234119,1.5141177031255177,-1.2799437150911666,0.20056493173512302,-4.428487433641219,0.5525165575936608,-6.074069363229489,2.1980984871819302,2.7316792589293404,299,True
LEVEL,pooled,vix,asset_price,a,5,-1.2741715610427944,-0.448922496416275,1.7111550606540085,-0.7446265919090946,0.45649748770282017,-4.0887711688359065,1.5404280467503177,-5.9484983490433265,3.4001552269577378,2.7316792589293404,298,True
LEVEL,pooled,vix,asset_price,a,6,-0.367344612166297,-0.1294246908193423,1.4474153106612964,-0.2537935100316607,0.7996550875736784,-2.7481309356126222,2.0134417112800285,-4.321218995356528,3.586529771023934,2.7316792589293404,297,True
LEVEL,pooled,vix,asset_price,a,7,-2.137387286373674,-0.7530549776373882,1.477948888425157,-1.4461848465214437,0.1481253628100396,-4.56839687594869,0.2936223032013423,-6.174669610642349,1.8998950378950012,2.7316792589293404,296,True
LEVEL,pooled,vix,asset_price,a,8,0.4327028907232603,0.15245204637203527,1.5808828714426846,0.27370964575533896,0.7843077645017429,-2.1676180341546973,3.033023815601218,-3.8857620599933798,4.751167841439901,2.7316792589293404,295,True
LEVEL,pooled,vix,asset_price,a,9,-0.12781964487028363,-0.0450340564964801,1.8653297900656578,-0.06852388545501356,0.9453686069169775,-3.196014115520409,2.940374825779842,-5.2233023434556625,4.9676630537150945,2.7316792589293404,294,True
LEVEL,pooled,vix,asset_price,a,10,-1.2347827735314396,-0.43504484182011055,2.181696456955978,-0.5659736805248682,0.5714116724019161,-4.823354103662656,2.3537885565997776,-7.194477734277713,4.724912187214834,2.7316792589293404,293,True
LEVEL,pooled,vix,asset_price,a,11,1.9450546262692088,0.6852913729891915,2.4353701325738557,0.7986689991198792,0.42448236707360754,-2.0607727692641857,5.950882021802603,-4.707595452698791,8.59770470523721,2.7316792589293404,292,True
LEVEL,pooled,vix,asset_price,a,12,0.560649521100002,0.19753084303719498,1.6510819850990657,0.33956491934370103,0.7341842002238508,-2.155138670484433,3.276437712684437,-3.9495768923869976,5.070875934587002,2.7316792589293404,291,True
LEVEL,pooled,vix,asset_price,a,13,-1.0245747248660444,-0.36098329088074405,1.74070104307283,-0.5885989032656521,0.5561303697927594,-3.8877731490025997,1.838623699270511,-5.779611660224763,3.7304622104926737,2.7316792589293404,290,True
LEVEL,pooled,vix,asset_price,a,14,-1.5442628903485505,-0.5440824242623321,1.796982522100985,-0.8593644464293613,0.3901394785635094,-4.50003610939476,1.411510328697659,-6.453042774630346,3.364516993933245,2.7316792589293404,289,True
LEVEL,pooled,vix,asset_price,a,15,-0.07092096681996773,-0.024987229700072083,1.8447164768115059,-0.03844545636766407,0.9693325188116042,-3.1052095544005143,2.963367620760579,-5.110094705131166,4.96825277149123,2.7316792589293404,288,True
LEVEL,pooled,vix,asset_price,a,16,0.13062983795519734,0.046024157777706895,1.8896572157568692,0.06912885409371765,0.94488705371494,-2.97757968707751,3.238839362987904,-5.031307584814008,5.292567260724403,2.7316792589293404,287,True
LEVEL,pooled,vix,asset_price,a,17,-1.8422746334299485,-0.649079411917571,2.260642329667236,-0.8149341491367762,0.41511000463263814,-5.560700368623127,1.8761511017632302,-8.017624397239642,4.333075130379744,2.7316792589293404,286,True
LEVEL,pooled,vix,asset_price,a,18,-3.6357990169256444,-1.2809828919822202,1.5528067284862321,-2.3414369285159116,0.019209671363533472,-6.189938796230873,-1.0816592376204155,-7.877568950257409,0.60597091640612,2.7316792589293404,285,True
LEVEL,pooled,vix,asset_price,a,19,-2.579627492766131,-0.9088672587613447,1.4109701376931094,-1.8282651233028493,0.06750977144494931,-4.90046684127086,-0.25878814426140195,-6.433945352871073,1.2746903673388115,2.7316792589293404,284,True
LEVEL,pooled,vix,asset_price,a,20,-3.1328249602066323,-1.1037725569861023,1.4325300048324239,-2.186917516309271,0.02874854596894442,-5.489127134372055,-0.7765227860412098,-7.046037462201312,0.7803875417880479,2.7316792589293404,283,True
LEVEL,pooled,vix,asset_price,a,21,-3.544117875308237,-1.2486813336775469,1.555814740374136,-2.277981936625669,0.022727653838626825,-6.1032053938771975,-0.9850303567392764,-7.794104732324801,0.7058689817083272,2.7316792589293404,282,True
LEVEL,pooled,vix,asset_price,a,22,-2.765205453210828,-0.974251013845701,1.5955686379049503,-1.733053274876135,0.0830862001761063,-5.389682314318806,-0.14072859210285005,-7.12378720757392,1.5933763011522641,2.7316792589293404,281,True
LEVEL,pooled,vix,asset_price,a,23,-2.2129588095625836,-0.7796807146144248,2.0622252800269214,-1.0730926591752838,0.28322954431580594,-5.60501754100588,1.1790999218807134,-7.846296834251875,3.420379215126708,2.7316792589293404,280,True
LEVEL,pooled,vix,asset_price,a,24,-3.806010398602825,-1.3409526171881785,1.9449978928846727,-1.9568198055772905,0.050368657667049,-7.005247237127151,-0.6067735600785,-9.119120801257157,1.5071000040515061,2.7316792589293404,279,True
LEVEL,pooled,us10y,asset_price,a,0,-0.01174898355608847,-0.004139460642204566,0.07929192427768736,-0.14817377258928016,0.8822056297552148,-0.142172592792204,0.11867462568002707,-0.2344029130613785,0.21090494594920156,2.808027822928552,303,True
LEVEL,pooled,us10y,asset_price,a,1,0.04120103183281277,0.014516153578388894,0.07580102988226553,0.5435418476082235,0.5867567862570101,-0.0834805670956886,0.16588263076131415,-0.17165036908322742,0.254052432748853,2.808027822928552,302,True
LEVEL,pooled,us10y,asset_price,a,2,0.029934737025480513,0.010546756250033797,0.05332706187209721,0.561342327414883,0.5745641917891491,-0.057780474109504154,0.11764994816046517,-0.1198091364264008,0.17967861047736183,2.808027822928552,301,True
LEVEL,pooled,us10y,asset_price,a,3,-0.032874125938686646,-0.011582376451582542,0.0673853090882439,-0.4878530110418666,0.6256539596031636,-0.14371309599573062,0.07796484411835734,-0.22209394871511573,0.15634569683774246,2.808027822928552,300,True
LEVEL,pooled,us10y,asset_price,a,4,-0.023033669656510807,-0.008115337682914541,0.067878428594931,-0.3393371080224286,0.7343557910797227,-0.13468374912264958,0.08861640980962797,-0.21363818572774607,0.16757084641472447,2.808027822928552,299,True
LEVEL,pooled,us10y,asset_price,a,5,0.0729582285890333,0.025705007954731806,0.09617152145494162,0.7586261242962217,0.4480762405798506,-0.08522984728556875,0.23114630446363532,-0.197094079429813,0.34301053660787956,2.808027822928552,298,True
