measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,dxy,asset_price,b,6,0.0017630888483622382,0.006363064508480733,0.277081718409798,0.7817173590592728,-0.008703220886938482,0.012229398583662957,-0.016147737467565846,0.01967391516429032,2.8148113683361875,219,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,6,2.1539899817843473,2.6337317492392702,0.817847141192913,0.4134444762206867,-2.1781132383691117,6.486093201937806,-5.10566334290887,9.413643306477564,2.75641333890215,219,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,6,0.08814375672714195,0.09554907311665253,0.9224972451541241,0.35626926662309655,-0.06902048274063538,0.24530799619491928,-0.18220504571946897,0.3584925591737529,2.8294236001279836,219,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,6,0.16187261244835868,0.4867991362676202,0.33252444466000125,0.7394932846485005,-0.6388407124382803,0.9625859373349978,-1.2036927162363922,1.5274379411331096,2.8051925875522192,219,True,3.0,0.1,0.930530819928648,False,3.0
LEVEL,pooled,cpi,real_macro,b,6,0.07790734606671451,0.10669255538846825,0.7302041438885157,0.465265409964324,-0.09758629063272833,0.25340098276615736,-0.2253669230622326,0.3811816151956616,2.84250637755112,219,True,2.0,0.05,0.930530819928648,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,6,0.13767527284458722,0.11810808581054005,1.165671866576818,0.2437471390143756,-0.056595240473175296,0.3319457861623497,-0.1958286811718238,0.4711792268609982,2.8237182215567573,219,True,1.0,0.03333333333333333,0.7312414170431268,False,3.0
LEVEL,pooled,freight,physical_channel,b,6,-0.000501860753707579,0.009754467573156102,-0.051449323086447014,0.958967482647171,-0.016546532120393916,0.015542810612978759,-0.027830417597311283,0.026826696089896126,2.80164515783627,219,True,1.0,0.1,0.958967482647171,False,1.0
LEVEL,act,oil,asset_price,a,1,-0.051487102593881895,0.03872632549223248,-1.329511693646455,0.18367921044866553,-0.11518623953828375,0.012212034350519957,-0.16113823307468872,0.058164027886924916,2.8314364734345903,224,True,2.0,0.03333333333333333,0.555753562557626,False,4.0
LEVEL,act,dxy,asset_price,a,1,0.006350784095093882,0.004291778069407518,1.479755940868259,0.1389383906394065,-0.0007085626284418613,0.013410130818629625,-0.005793519931510954,0.01849508812169872,2.8296672917855146,224,True,1.0,0.025,0.555753562557626,False,4.0
LEVEL,act,vix,asset_price,a,1,-0.4725952813158706,1.4970068559407814,-0.31569346488989325,0.7522351874926465,-2.934952437881285,1.9897618752495436,-4.614636914226038,3.669446351594297,2.766882206633006,224,True,3.0,0.05,1.0,False,4.0
LEVEL,act,us10y,asset_price,a,1,0.011012656887156653,0.06853268347013845,0.16069204253405844,0.8723359571226905,-0.10171357608341779,0.12373888985773109,-0.1823146670474537,0.20433998082176702,2.8209507368677356,224,True,4.0,0.1,1.0,False,4.0
LEVEL,act,ip,real_macro,a,1,0.20312360988523026,0.37783650575534294,0.5375965709802457,0.590855598070807,-0.41836213700111635,0.8246093567715769,-0.8711658181269113,1.2774130378973718,2.843265305623397,224,True,3.0,0.1,1.0,False,3.0
LEVEL,act,cpi,real_macro,a,1,0.042808584725123486,0.07272164077845805,0.5886636256673192,0.5560869431715438,-0.07680786986718532,0.1624250393174323,-0.1616213755441021,0.24723854499434905,2.811129645603139,224,True,2.0,0.05,1.0,False,3.0
LEVEL,act,infl_exp,real_macro,a,1,-0.17165546412378524,0.11513134308232335,-1.490953371412031,0.13597373744776578,-0.3610296713685391,0.017718743120968605,-0.49632377768964875,0.15301284944207827,2.8199819864319062,224,True,1.0,0.03333333333333333,0.40792121234329737,False,3.0
LEVEL,act,freight,physical_channel,a,1,0.01159896572800171,0.009443835321730628,1.2282049964713007,0.2193700235427244,-0.003934761053279336,0.027132692509282755,-0.014910571382164256,0.03810850283816768,2.807073207764064,224,True,1.0,0.1,0.2193700235427244,False,1.0
LEVEL,act,oil,asset_price,a,2,-0.02900468566567936,0.0329687411194401,-0.8797632145128125,0.3789875962324354,-0.08323343907201455,0.025224067740655824,-0.1223535817544848,0.06434421042312607,2.8314364734345903,223,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,act,dxy,asset_price,a,2,0.008699023931201037,0.003981505126867896,2.184858151380616,0.028899248730616535,0.002150030782546496,0.015248017079855576,-0.002567310898373384,0.01996535876077546,2.8296672917855146,223,True,1.0,0.025,0.11559699492246614,False,4.0
LEVEL,act,vix,asset_price,a,2,-0.04322754563779796,1.5544223119174374,-0.02780939600929633,0.9778141719303812,-2.6000247232094873,2.5135696319338914,-4.344130982075496,4.2576758907999,2.766882206633006,223,True,4.0,0.1,1.0,False,4.0
LEVEL,act,us10y,asset_price,a,2,-0.04431171516323705,0.05157474798115169,-0.8591746328926521,0.3902441764342195,-0.12914462643914254,0.040521196112668426,-0.18980153848443465,0.10117810815796056,2.8209507368677356,223,True,3.0,0.05,1.0,False,4.0
LEVEL,act,ip,real_macro,a,2,-0.7826598598232071,0.35147209530327245,-2.226805115631949,0.02596030135657668,-1.3607800105550283,-0.20453970909138586,-1.7819882742937616,0.21666855464734758,2.843265305623397,223,True,1.0,0.03333333333333333,0.07788090406973004,True,3.0
LEVEL,act,cpi,real_macro,a,2,-0.0817968468595806,0.11574934691747522,-0.7066722105818753,0.4797702028568035,-0.2721875799540539,0.10859388623489273,-0.40718326743849753,0.24358957371933632,2.811129645603139,223,True,3.0,0.1,0.4797702028568035,False,3.0
LEVEL,act,infl_exp,real_macro,a,2,-0.11615025756416397,0.07814505203844978,-1.4863418032790414,0.13718873475853977,-0.24468742983791963,0.01238691470959169,-0.33651789664137627,0.10421738151304832,2.8199819864319062,223,True,2.0,0.05,0.27437746951707953,False,3.0
LEVEL,act,freight,physical_channel,a,2,0.008306927577635712,0.0075697149754371616,1.0973897438134355,0.2724710549024064,-0.004144145554700978,0.020758000709972402,-0.012941816520324355,0.02955567167559578,2.807073207764064,223,True,1.0,0.1,0.2724710549024064,False,1.0
LEVEL,act,oil,asset_price,a,6,-0.027490282164437017,0.039875209345068705,-0.689407845524871,0.49056664763847424,-0.0930791648811225,0.03809860055224847,-0.14039440428990438,0.08541383996103033,2.8314364734345903,219,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,act,dxy,asset_price,a,6,0.001360254550170886,0.00475720360576178,0.2859357435371039,0.7749273367357891,-0.006464649054912999,0.009185158155254771,-0.012101048893417335,0.014821557993759107,2.8296672917855146,219,True,3.0,0.05,1.0,False,4.0
LEVEL,act,vix,asset_price,a,6,1.755880804888697,1.939705179739934,0.9052307655971288,0.36534314623133046,-1.4346502952230908,4.946411905000485,-3.6110549430476033,7.122816552824997,2.766882206633006,219,True,1.0,0.025,1.0,False,4.0
LEVEL,act,us10y,asset_price,a,6,-0.01191863849304749,0.07647680382480987,-0.15584645143317247,0.876154054983533,-0.13771178664194222,0.11387450965584724,-0.22765593459593417,0.20381865760983917,2.8209507368677356,219,True,4.0,0.1,1.0,False,4.0
LEVEL,act,ip,real_macro,a,6,-0.11140977568688165,0.24487756855148451,-0.4549611315805686,0.6491372019718743,-0.5141975324778487,0.2913779811040854,-0.8076616704747326,0.5848421191009694,2.843265305623397,219,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,act,cpi,real_macro,a,6,-0.027341112469172882,0.09085400274304273,-0.30093459444489434,0.7634643697880298,-0.17678264840412572,0.12210042346577994,-0.2827434930018492,0.22806126806350346,2.811129645603139,219,True,2.0,0.05,1.0,False,3.0
LEVEL,act,infl_exp,real_macro,a,6,-0.01113182325478734,0.08728939235902594,-0.12752778950507015,0.8985226798970898,-0.1547100968709213,0.1324464503613466,-0.2572863373138274,0.2350226908042527,2.8199819864319062,219,True,3.0,0.1,1.0,False,3.0
